product_id,post_title,price,stock_quantity,chiffre_affaires
5445,La Préceptorie Maury Blanc 2015,16.3,11,179.3
4353,Champagne Egly-Ouriet Grand Cru Brut Rosé,79.5,11,874.5
4397,Wemyss Malts Blended Malt Scotch Whisky The Hive Batch Strength,59.0,7,413.0
4573,Château de Meursault Beaune-Grèves Les Trois Journaux 1er Cru 2015,67.2,9,604.8
5610,Domaine Weinbach Pinot Blanc 2017,18.0,11,198.0
4248,Domaine Saint-Denis Mâcon Chardonnay 2017,14.8,64,947.2
6213,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2016,121.0,7,847.0
4288,Domaine Hauvette IGP Alpilles Jaspe 2017,26.7,8,213.6
4229,Mérieau Touraine L'Arpent des Vaudons 2018,9.6,26,249.6
4204,Mas Laval IGP Pays d'Hérault Les Pampres Rouges 2017,11.3,31,350.3
4077,Domaine des Bosquets Gigondas 2016,22.9,48,1099.2
6573,Marc Colin Et Fils Chassagne-Montrachet 1er Cru Les Champs Gain 2017,68.3,12,819.6
4716,Domaine Schoenheitz Pinot Gris Herrenreben 2017,18.6,7,130.2
4264,Chermette Domaine du Vissoux Moulin à Vent Les Trois Roches 2018,17.8,48,854.4
6887,Gratavinum Priorat 2?r 2017,21.8,24,523.2
6301,Borie La Vitarèle Saint-Chinian Midi Rouge 2015,40.5,20,810.0
4180,Domaine de l'Hortus Val de Montferrand La Grande Cuvée Blanc 2018,24.0,47,1128.0
4681,Domaine de Joy Côtes de Gascogne Blanc Moelleux Saint-André 2018,7.1,178,1263.8
4287,Domaine Hauvette Les Baux de Provence Cornaline 2014,38.6,22,849.2
4711,Albert Mann Riesling Grand Cru Schlossberg 2018,55.4,9,498.6
4648,Bernard Baudry Chinon Blanc La Croix Boissée 2018,24.3,9,218.7
5480,Domaine Bulliat Chiroubles Cuvée Félix 2019,10.4,37,384.8
4225,Pierre Martin Sancerre Chavignol Blanc 2019,16.9,20,338.0
4299,Domaine de La Tour Du Bon Bandol Rouge Saint Ferréol 2018,39.1,18,703.8
4164,Parés Baltà Penedès Mas Petit 2015,7.6,19,144.4
4393,Wemyss Malts Blended Malt Scotch Whisky Vanilla Burst,57.0,2,114.0
5903,Stéphane Tissot Arbois Trousseau Singulier 2017,27.3,1,27.3
4739,Jean-Paul Brun Beaujolais Le Ronsay 2016,7.4,50,370.0
4907,Alphonse Mellot Coteaux Charitois Rouge Les Pénitents 2015,22.9,6,137.4
4162,Domino Romano Ribera Del Duero Camino Romano 2016,14.3,26,371.8
4276,I Fabbri Chianti Classico Terra Di Lamole 2015,17.6,1,17.6
4275,I Fabbri Chianti Classico Lamole 2017,14.9,14,208.6
4047,Pierre Gaillard Côtes-du-Rhône Blanc Les Gendrines 2018,18.3,36,658.8
4612,Gilbert Picq Chablis Vieilles Vignes 2017,20.6,49,1009.4
5010,Domaine des Comtes Lafon Monthélie 1er Cru Les Duresses 2017,55.6,17,945.2
6202,Domaine Clerget Echezeaux Grand Cru En Orveaux 2015,116.4,14,1629.6
6227,Le Pas de l'Escalette Terrasses du Larzac Les Frieys 2017,40.2,15,603.0
5773,Decelle-Villa Auxey-Duresses Blanc 2017,32.8,18,590.4
4676,Domaine Rotier Gaillac Blanc Doux Les Gravels 2016,12.9,73,941.7
5737,Triennes IGP Méditerranée Rouge Les Auréliens 2016,11.0,12,132.0
4703,Albert Mann Crémant d'Alsace Extra Brut 2017,19.8,2,39.6
4718,Domaine Schoenheitz Pinot Noir Val Saint Grégoire 2017,18.2,19,345.8
6569,Decelle-Villa Chorey-Lès-Beaune 2016,29.0,6,174.0
4962,Château Turcaud Bordeaux Blanc Cuvée Majeure 2018,11.3,95,1073.5
6567,"Decelle-Villa Côte de Nuits Villages ""Aux Montagnes"" 2014",28.4,9,255.6
4892,Jacqueson Rully Rouge Les Chaponnières 2018,20.1,34,683.4
4071,Château de Vaudieu Châteauneuf-du-Pape Rouge 2015,33.2,16,531.2
4974,Château du Couvent Pomerol 2017,23.0,2,46.0
4725,François Baur Riesling Grand Cru Brand Clos De La Treille 2017,23.4,1,23.4
6279,Borie de Maurel Minervois Rouge Maxime 2003,45.9,10,459.0
4649,Bernard Baudry Chinon Blanc 2018,16.5,5,82.5
4720,Domaine Schoenheitz Riesling Herrenreben 2018,15.9,10,159.0
4267,Domaine Bulliat Morgon Amphore Cou de Jus 2019,19.0,21,399.0
4632,Marcel Windholtz Eau de Vie de Quetsch d'Alsace Réserve Particulière,50.0,3,150.0
5967,Zind-Humbrecht Gewurztraminer Clos Windsbuhl 2012,56.3,9,506.7
5819,Maison Trimbach Riesling Cuvée Frédéric Emile 2008,56.0,1,56.0
5056,Domaine de Montgilet Anjou Rouge 2016,7.5,9,67.5
4913,Jean-Batiste Arena Muscat du Cap Corse 2015,28.0,16,448.0
5548,Thierry Germain Saumur-Champigny Outre Terre 2017,48.8,6,292.8
5001,David Duband Charmes-Chambertin Grand Cru 2014,217.5,20,4350.0
6204,Domaine Giudicelli Muscat du Cap Corse 2016,31.0,7,217.0
5892,Coteaux Champenois Egly-Ouriet Ambonnay Rouge 2016,191.3,10,1913.0
4251,Domaine Saint-Denis Bourgogne Rouge Le Clos 2017,14.1,102,1438.2
5395,Chili Errazuriz Cabernet Sauvignon 2016,12.7,6,76.2
4154,Elian Daros Côtes du Marmandais Le Vin Est Une Fête 2017,9.8,128,1254.4
4603,Catherine et Claude Maréchal Ladoix Rouge Les Chaillots 2017,31.5,39,1228.5
5546,Thierry Germain Saumur-Champigny Cuvée Domaine 2018,15.2,130,1976.0
4115,Zind-Humbrecht Riesling Grand Cru Rangen De Thann Clos Saint-Urbain 2017,100.0,11,1100.0
4566,Domaine de Montcalmès Coteaux du Languedoc Blanc 2017,28.5,3,85.5
5491,Marc Colin Et Fils Santenay Rouge 2017,26.5,15,397.5
4201,Mas de Daumas Gassac IGP Saint-Guilhem-le-Désert 2018,38.0,69,2622.0
4263,Chermette Domaine du Vissoux Fleurie Poncié 2018,15.8,50,790.0
4788,Maurice Schoech Pinot Gris 2018,12.3,21,258.3
6584,La Préceptorie Côtes du Roussillon Blanc Coume Marie 2018,13.5,29,391.5
4106,Emile Boeckel Pinot Noir Barriques Oberpfoeller 2018,12.6,26,327.6
4270,Domaine Sérol Côte Roannaise Les Millerands 2018,15.5,31,480.5
5619,"Albert Boxler Riesling Grand Cru Sommerberg ""E"" 2018",71.3,13,926.9
4208,Domaine Montrose Côtes de Thongue Rosé 2019,7.6,578,4392.8
4285,Château de Cazeneuve Pic Saint-Loup Le Sang Du Calvaire 2017,41.0,24,984.0
4937,Domaine Rouge Garance Côtes du Rhône Feuille de Garance 2019,9.9,28,277.2
5930,Borie La Vitarèle Languedoc Blanc Le Grand Mayol 2019,14.1,66,930.6
4858,Château Turcaud Bordeaux Rosé 2019,6.5,257,1670.5
